Meals
Dundee cake
Eccles Cakes
Egg Drop Soup
Eggplant Adobo
Egyptian Fatteh
English Breakfast
Escovitch Fish
Eton Mess
Fennel Dauphinoise
Feteer Meshaltet
Fettuccine Alfredo
Fettucine alfredo
Fish fofos
Fish pie
Fish Soup (Ukha)
Fish Stew with Rouille
Flamiche
French Lentils With Garlic and Thyme
French Omelette
French Onion Chicken with Roasted Carrots & Mashed Potatoes
French Onion Soup
Fresh sardines
Fruit and Cream Cheese Breakfast Pastries
Ful Medames
Full English Breakfast
Garides Saganaki
General Tsos Chicken
Gigantes Plaki
Golabki (cabbage roll)
Grilled eggplant with coconut milk
Grilled Mac and Cheese Sandwich
Grilled Portuguese sardines
Ham hock colcannon
Home-made Mandazi
Honey Balsamic Chicken with Crispy Broccoli & Potatoes
Honey Teriyaki Salmon
Honey Yogurt Cheesecake
Hot and Sour Soup
Hot Chocolate Fudge
Irish stew
Jam Roly-Poly
Jamaican Beef Patties
Japanese gohan rice
Japanese Katsudon
Jerk chicken with rice & peas
Kafteji
Kapsalon
Katsu Chicken curry
Kedgeree
Keleya Zaara
Kentucky Fried Chicken
Key Lime Pie
Kidney Bean Curry
Koshari
Krispy Kreme Donut
Kumpir
Kung Pao Chicken
Kung Po Prawns
Laksa King Prawn Noodles
Lamb and Lemon Souvlaki
Lamb and Potato pie
Lamb Biryani
Lamb Pilaf (Plov)
Lamb Rogan josh
Lamb Tagine
Lamb tomato and sweet spices
Lamb Tzatziki Burgers
Lancashire hotpot
Lasagna Sandwiches
Lasagne
Leblebi Soup
Ma Po Tofu
Madeira Cake
Massaman Beef curry
Matar Paneer
Mbuzi Choma (Roasted Goat)
McSinghs Scotch pie
Mediterranean Pasta Salad
Mee goreng mamak
Migas
Mince Pies
Minced Beef Pie
Montreal Smoked Meat
Moroccan Carrot Soup
Moussaka
Mulukhiyah
Mushroom & Chestnut Rotolo
Mushroom soup with buckwheat
Mustard champ
Nanaimo Bars
Nasi lemak
New York cheesecake
Nutty Chicken Curry
Osso Buco alla Milanese
Oxtail with broad beans
Pad See Ew
Pancakes
Parkin Cake
Paszteciki (Polish Pasties)
Pate Chinois
Peach & Blueberry Grunt
Peanut Butter Cheesecake
Peanut Butter Cookies
Pear Tarte Tatin
Pierogi (Polish Dumplings)
Pilchard puttanesca
Piri-piri chicken and slaw
Pizza Express Margherita
Polskie Nalesniki (Polish Pancakes)
Pork Cassoulet
Portuguese barbecued pork (Febras assadas)
Portuguese custard tarts
Portuguese fish stew (Caldeirada de peixe)
Portuguese prego with green piri-piri
Potato Gratin with Chicken
Potato Salad (Olivier Salad)
Pouding chomeur
Poutine
Prawn & Fennel Bisque
Provençal Omelette Cake
Pumpkin Pie
Rappie Pie
Ratatouille
Recheado Masala Fish
Red Peas Soup
Ribollita
Rigatoni with fennel sausage sauce
Roast fennel and aubergine paella
"Roasted Eggplant With Tahini, Pine Nuts, and Lentils"
Rock Cakes
Rocky Road Fudge
Rogaliki (Polish Croissant Cookies)
Rosol (Polish Chicken Soup)
Roti john
Salmon Avocado Salad
Salmon Eggs Eggs Benedict
Salmon Prawn Risotto
Salted Caramel Cheescake
Saltfish and Ackee
Seafood fideuà
Seri muka kuih
Shakshuka
Shawarma
Shrimp Chow Fun
Skillet Apple Pork Chops with Roasted Sweet Potatoes & Zucchini
Sledz w Oleju (Polish Herrings)
Smoked Haddock Kedgeree
Smoky Lentil Chili with Squash
Snert (Dutch Split Pea Soup)
Soy-Glazed Meatloaves with Wasabi Mashed Potatoes & Roasted Carrots
Spaghetti alla Carbonara
Spaghetti Bolognese
Spanish Tortilla
Spicy Arrabiata Penne
Spicy North African Potato Salad
Spinach & Ricotta Cannelloni
Split Pea Soup
Spotted Dick
Spring onion and prawn empanadas
Squash linguine
Stamppot
Steak and Kidney Pie
Steak Diane
Sticky Toffee Pudding
Sticky Toffee Pudding Ultimate
"Stovetop Eggplant With Harissa, Chickpeas, and Cumin Yogurt"
Strawberries Romanoff
Strawberry Rhubarb Pie
Stuffed Bell Peppers with Quinoa and Black Beans
Stuffed Lamb Tomatoes
Sugar Pie
Summer Pistou
Summer Pudding
Sushi
Sweet and Sour Pork
Szechuan Beef
Tahini Lentils
Tamiya
Tandoori chicken
Tarte Tatin
Teriyaki Chicken Casserole
Thai Green Curry
Three Fish Pie
Three-cheese souffles
Timbits
Toad In The Hole
Tonkatsu pork
Tortang Talong
Tourtiere
Traditional Croatian Goulash
Treacle Tart
Tuna and Egg Briks
Tuna Nicoise
Tunisian Lamb Soup
Tunisian Orange Cake
Turkey Meatloaf
Vegan Chocolate Cake
Vegan Lasagna
Vegetable Shepherds Pie
Vegetarian Casserole
Vegetarian Chilli
Venetian Duck Ragu
Vietnamese Grilled Pork (bun-thit-nuong)
Walnut Roll Gužvara
White chocolate creme brulee
Wontons
Yaki Udon
